age,gender,pred_personality,selected_genre,book,rating,book_url,pic_url
30,Female,serious,Sử học,LƯỢC SỬ THẾ GIỚI,5,https://nhanam.vn/luoc-su-the-gioi-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/luocsuthegioi01.jpg?v=1705552551783
30,Female,serious,Sử học,KHỔNG GIÁO PHÊ BÌNH TIỂU LUẬN,3,https://nhanam.vn/khong-giao-phe-binh-tieu-luan-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/khonggiaophebinhtieuluan06cm01.jpg?v=1705552511630
30,Female,serious,Thơ - kịch,CƠM NHÀ NÓI CHUNG LÀ ÊM,1,https://nhanam.vn/com-nha-noi-chung-la-em,https://bizweb.dktcdn.net/100/363/455/products/comnhanoichunglaem01.jpg?v=1705552094687
30,Female,serious,Triết học,BÍ MẬT CỦA TRĂNG,3,https://nhanam.vn/bi-mat-cua-trang,https://bizweb.dktcdn.net/100/363/455/products/tho-tranh-tuong-tac-bi-mat-cua-trang-01.jpg?v=1726044140233
25,Female,serious,Tản văn,HÀ NỘI CÒN MỘT CHÚT NÀY,3,https://nhanam.vn/ha-noi-con-mot-chut-nay,https://bizweb.dktcdn.net/100/363/455/products/hanoiconmotchutnay01.jpg?v=1710306241643
25,Female,serious,Nghệ thuật,HUẾ ĐẸP NHƯ TRANH - BÌA CỨNG,5,https://nhanam.vn/hue-dep-nhu-tranh-bia-cung,https://bizweb.dktcdn.net/100/363/455/products/huedepnhutranh01.jpg?v=1705552095470
25,Female,serious,Kinh tế chính trị,VƯỢT QUA SỢ HÃI,4,https://nhanam.vn/vuot-qua-so-hai,https://bizweb.dktcdn.net/100/363/455/products/vuotquasohai01.jpg?v=1710306292440
20,Female,serious,Tiểu luận - phê bình,HƯỚNG DẪN VIẾT VỀ PHIM,4,https://nhanam.vn/huong-dan-viet-ve-phim-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/huong-dan-viet-ve-phim-01.jpg?v=1724040665327
20,Female,serious,Tiểu luận - phê bình,KHỔNG GIÁO PHÊ BÌNH TIỂU LUẬN,3,https://nhanam.vn/khong-giao-phe-binh-tieu-luan-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/khonggiaophebinhtieuluan06cm01.jpg?v=1705552511630
30,Female,serious,Nghệ thuật,HUẾ ĐẸP NHƯ TRANH - BÌA CỨNG,3,https://nhanam.vn/hue-dep-nhu-tranh-bia-cung,https://bizweb.dktcdn.net/100/363/455/products/huedepnhutranh01.jpg?v=1705552095470
30,Female,serious,Sử học,VĂN MINH VIỆT NAM,5,https://nhanam.vn/van-minh-viet-nam-nha-nam-tai-ban,https://bizweb.dktcdn.net/100/363/455/products/van-minh-viet-nam-01.jpg?v=1699961156847
30,Female,serious,Sử học,KHỔNG GIÁO PHÊ BÌNH TIỂU LUẬN,1,https://nhanam.vn/khong-giao-phe-binh-tieu-luan-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/khonggiaophebinhtieuluan06cm01.jpg?v=1705552511630
30,Female,serious,Sử học,SỬ KÝ 2 - LIỆT TRUYỆN - THƯỢNG,5,https://nhanam.vn/su-ky-2-liet-truyen-thuong-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/sukytap201.jpg?v=1705552519160
30,Female,serious,Sử học,SỬ KÝ 2 - LIỆT TRUYỆN - THƯỢNG,1,https://nhanam.vn/su-ky-2-liet-truyen-thuong-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/sukytap201.jpg?v=1705552519160
30,Female,serious,Sử học,KHỔNG GIÁO PHÊ BÌNH TIỂU LUẬN,5,https://nhanam.vn/khong-giao-phe-binh-tieu-luan-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/khonggiaophebinhtieuluan06cm01.jpg?v=1705552511630
30,Female,serious,Sử học,VIỆT NAM SỬ LƯỢC - BÌA CỨNG,5,https://nhanam.vn/viet-nam-su-luoc-bia-cung-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/vietnamsuluocbiacung05.jpg?v=1705552569243
30,Female,serious,Sử học,LƯỢC SỬ THẾ GIỚI,1,https://nhanam.vn/luoc-su-the-gioi-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/luocsuthegioi01.jpg?v=1705552551783
30,Female,serious,Sử học,KHỔNG GIÁO PHÊ BÌNH TIỂU LUẬN,5,https://nhanam.vn/khong-giao-phe-binh-tieu-luan-nha-nam,https://bizweb.dktcdn.net/100/363/455/products/khonggiaophebinhtieuluan06cm01.jpg?v=1705552511630
